Gene,log2FoldChange,pvalue,padj
MTMR8,4.73907759003263,4.05887718510963e-28,1.72157564114563e-27
CORT,4.73843425659031,7.20209530840457e-19,1.77349229558263e-18
LIN28A,4.73565236605655,1.03593121801081e-21,2.99189948440216e-21
HAPLN4,4.73508871586693,2.53633961289105e-17,5.75960453760676e-17
CREG2,4.73312159569486,6.26945215831802e-20,1.63469160756246e-19
DHRS4,4.73259752473419,6.7305250743696e-46,1.00767112686837e-44
TMCO2,4.73014377235637,1.22947392566848e-09,1.90955913319484e-09
LPAL2,4.72942171744679,8.11514195422193e-21,2.22195692981029e-20
EBF3,4.72838243568459,4.51417777150934e-22,1.32985237052572e-21
CAPN12,4.72830194535995,4.42943785353935e-40,4.27404445998895e-39
IGKV3D-7,4.7273519146538,1.33358395418997e-10,2.16665323661417e-10
TM4SF19,4.72715274286869,3.4669700961679e-22,1.02693099857879e-21
LDHC,4.72537461962953,2.19767754178613e-22,6.58631874284786e-22
CLDN25,4.72359113414696,1.39894990446828e-10,2.26963041281707e-10
CCDC183,4.72242709125906,1.9819949254107e-38,1.69987832882539e-37
MTNR1A,4.72029788179088,1.26680403034645e-24,4.32148200516099e-24
KCNB2,4.71864290969641,2.07954928255182e-15,4.28672348591642e-15
IQSEC2,4.71736183319127,7.24546437865091e-41,7.44829399523889e-40
ITPR1,4.71690615904502,1.06875389748799e-52,2.67526112298301e-51
LCE4A,4.71539272870258,1.47932115787386e-09,2.28743490004949e-09
AMELY,4.71529781982147,1.14512056982724e-07,1.62101483261259e-07
IGHVII-30-1,4.71513472550444,1.66637233925193e-08,2.44926773408455e-08
IGKV2D-26,4.71442389931182,1.48652086898534e-09,2.29839510822328e-09
LOXL2,4.71372933176819,4.84451527906433e-23,1.50485312521116e-22
H4C13,4.71282538972685,2.61602180045539e-16,5.65505405154055e-16
CDX4,4.70787072156497,1.21749809147038e-09,1.89181461626047e-09
LCE1F,4.70548426126679,1.23656180297091e-08,1.82953244060642e-08
COLQ,4.70435439858093,2.83987062450007e-37,2.22703367854305e-36
LRP4,4.70329895628368,6.76180960101532e-41,6.96848622263715e-40
CNTN5,4.70141657186667,3.54415985408092e-37,2.76042484513879e-36
CD28,4.70007926875605,5.65728431519505e-22,1.65830555175488e-21
FTHL17,4.69953562310887,4.78801622726273e-08,6.89920418953902e-08
IFNA13,4.69784011275441,1.10458126594098e-09,1.7196008962178e-09
IGHV3-43,4.69711485495076,3.9523149402779e-12,6.92891158919794e-12
CLDN34,4.69482776199709,5.91791371535158e-13,1.07870235754696e-12
KIFC1,4.69478565337858,1.19470183130023e-23,3.84743667760137e-23
FCGR2C,4.69222979358937,4.92961336395778e-27,1.93770205897528e-26
APOC1P1,4.69137970560874,3.06132804547251e-13,5.66634492945005e-13
JPH3,4.69028172187606,5.15414099684992e-31,2.63344391557801e-30
MT1A,4.68872015440705,5.94141999359297e-11,9.81706715495739e-11
LIPJ,4.6884746931639,2.09858943541925e-18,5.0499989439402e-18
ART3,4.68779940612535,6.19316109150614e-20,1.61541291018129e-19
NBEAP1,4.68389487209485,2.52209474965686e-16,5.45601952511613e-16
DMC1,4.68362176292871,7.09784576707712e-27,2.7657030574533e-26
CNTN3,4.68186021299333,6.13722522140454e-32,3.33156724074189e-31
GUSBP3,4.68032223127155,5.36652486980785e-31,2.73992016958888e-30
TNFSF18,4.68008007178874,5.57838395211631e-10,8.80412838409163e-10
FHIT,4.67973289682386,4.42134730641902e-37,3.41907567040309e-36
NCOR1P1,4.6794058370429,2.20413368701692e-08,3.22312308959651e-08
LRFN3,4.67915359086444,1.65281557828176e-25,5.9309621543603e-25
IL24,4.6780362117482,3.68611802069565e-20,9.6958270357956e-20
GPRIN1,4.67554375673513,1.39893944691839e-20,3.77713650667966e-20
MUSTN1,4.67531029921567,9.79380350995812e-22,2.83413605996133e-21
CYCSP52,4.67502277212496,3.12297012226468e-15,6.38130405562137e-15
CAPZA3,4.6736695534976,1.37496206815611e-08,2.02789186469674e-08
FASLG,4.673287284142,2.40552284137213e-23,7.60413933636755e-23
DUSP8,4.67215522240323,7.11145968669732e-36,5.074415786579e-35
TLCD4-RWDD3,4.67157150464414,8.65815193783217e-30,4.08441923680514e-29
CCDC158,4.67106526970655,6.81582212985816e-28,2.84006374792087e-27
KLRF2,4.67104177616155,7.23868399832465e-13,1.31201943559287e-12
CCN5,4.66930908795244,3.06918224173625e-23,9.65169033155372e-23
ISG15,4.66745230136594,4.70308361742597e-27,1.84980367008789e-26
IGKV1-8,4.66634271879212,1.67541164929811e-07,2.35245061254024e-07
E2F1,4.66001128608568,2.61703572191063e-21,7.37935298481807e-21
HAAO,4.65547547243647,1.70058531376817e-28,7.38485624977614e-28
IMPG2,4.65302957052514,4.69840122706186e-26,1.74368156510001e-25
IQCF3,4.65055097834345,5.58643762479473e-17,1.24768214991757e-16
FBLL1,4.65050306799796,3.31725824029472e-09,5.039365607869e-09
PF4V1,4.65046902466302,3.64285432418776e-15,7.42078927445783e-15
CCDC179,4.64903581143508,8.6149813948711e-13,1.55599887529142e-12
CABP7,4.64842606087171,7.35001916570099e-29,3.26472067340677e-28
CCNE1,4.64679333250197,5.96455009942302e-20,1.55676797919946e-19
FCRL3,4.64561060247445,1.16894745109106e-18,2.84988005206237e-18
IGKV3D-25,4.64480775509032,1.12799514085123e-08,1.67142544031332e-08
GRM2,4.64462617033046,1.20210659668016e-23,3.87007313614752e-23
GLOD5,4.64406046666079,9.56670883272312e-14,1.81660769345496e-13
IGHV3-38,4.64141155700368,2.00941155870578e-08,2.94234753862377e-08
COLEC10,4.63976207537251,1.06171160942504e-19,2.74020557075487e-19
CRB1,4.63921171472976,8.66388742568575e-24,2.81477282536749e-23
H2BC1,4.63800385600923,8.78616558935207e-10,1.37269677920705e-09
LIN7A,4.63721979583505,4.41662154416647e-24,1.46187050821615e-23
TGIF2LX,4.63630736721587,4.05329495666451e-09,6.13353381829334e-09
GRK5,4.63540963335625,1.07593311148772e-34,7.05451878731968e-34
